,Address,Business_Summary,Country_of_Incorporation,Established_In,Latest_Update,Name,Number_of_Employees,Ownership_Type,Primary_Sector,contacts
6089, Saudi Arabian Airlines Building Saud Al Faysal Street Al Khalidiyah District 620 Saudi Arabia Jeddah 21231 ,"Provides scheduled air transportation services for passengers. Through its main subsidiaries; provides low cost and chartered air transportation, air cargo and airport support services; offers real estate property investment and development.",Saudi Arabia,," Also known as: SAUDIA, Saudia Airlines Last updated on: 15 January 2018 ",Saudi Arabian Airlines ,17000,Government,Transport,"Tel: +966 12-686-0000,Fax: +966 12-686-4552,Email: cr@saudia.com,www.saudia.com,"
6090," Dar Al Hejaz Trade Center 2 Tahlia Street 2nd Floor, Office 7 Faysaliyah Area 112664 Saudi Arabia Jeddah 21371 ",Provides travel agency services.,Saudi Arabia,2001, Also known as: SASTCO Last updated on: 31 July 2019 ,Sadd Al-Samallaghi Tourism Company Limited ,25,Private,Leisure and Tourism,"Tel: +966 12-668-5054,Tel: +966 12-664-0662,Fax: +966 12-668-4963,"
6091, Olayan Financing Company Building Al Ahsa Street Al Malaz District 8772 Saudi Arabia Riyadh 11492 ,Holding company with interest in direct investments in various sectors.,Saudi Arabia,N/A," Also known as: OFC, OLAYAN Last updated on: 10 October 2018 ",Olayan Financing Company ,200,Foreign,Financial Services,"Tel: +966 11-466-6555,Fax: +966 11-474-9108,www.olayangroup.com,"
6092, Saudi Filters Industry Co Building Street 8 and 69 Dammam Industrial City 2 31872 Saudi Arabia Dammam 31952 ,"Manufacture of automotive spare parts and accessories including hydraulic transmissions and coolant filters; distribution of automotive spare parts and accessories including valves, cartridges and strainers.",Saudi Arabia,1987," Also known as: SFICO, Saudi Filter Last updated on: 31 July 2019 ",Saudi Filters Industry Co ,150,Private,Transport,"Tel: +966 13-812-1184,Tel: +966 13-812-1107,Fax: +966 13-812-1050,Email: info@saudifilter.com,https://www.saudifilter.com,"
6093, Alshifa Medical Syringe Manufacturing Company Building Street 22 Dammam First Industrial City 7917 Saudi Arabia Dammam 31472 ,Manufacture of medical supplies including syringes and needles.,Saudi Arabia,1980, Also known as: Alshifa Last updated on: 31 July 2019 ,Alshifa Medical Syringe Manufacturing Company ,180,Private,Health Care,"Tel: +966 13-847-3617,Tel: +966 13-847-4284,Fax: +966 13-847-4033,Email: info@alshifa.com,www.alshifa.com,"
6094, Saudi Iron and Steel Company Building Road 272 Jubail Industrial City 10053 Saudi Arabia Jubail 31961 ,"Manufacture of direct reduced iron, long and flat steel products including rebars, coils, wire rods, light sections, hot rolled and galvanized products.",Saudi Arabia,1979, Also known as: Hadeed Last updated on: 22 February 2019 ,Saudi Iron and Steel Company ,4300,Government,Mining and Metals,"Tel: +966 13-357-1100,Tel: +966 13-357-1155,Tel: +966 13-357-6000,Fax: +966 13-358-5597,Fax: +966 13-358-7858,Email: commercial@hadeed.com.sa,Email: info@hadeed.sadic.sa,"
6095, Saudi Iron and Steel Company Building Road 272 Jubail Industrial City 10053 Saudi Arabia Jubail 31961 ,"Manufacture of direct reduced iron, long and flat steel products including rebars, coils, wire rods, light sections, hot rolled and galvanized products.",Saudi Arabia,1979, Also known as: Hadeed Last updated on: 22 February 2019 ,Saudi Iron and Steel Company ,4300,Government,Mining and Metals,"Tel: +966 13-357-1100,Tel: +966 13-357-1155,Tel: +966 13-357-6000,Fax: +966 13-358-5597,Fax: +966 13-358-7858,Email: commercial@hadeed.com.sa,Email: info@hadeed.sadic.sa,"
6096, Juffali Building Al Madina Road 3rd Floor 5648 Saudi Arabia Jeddah 21432 ,"Distribution and maintenance of computers and computer peripherals including storage devices and point of sales equipment; distribution of software solutions including enterprise resources planning, business intelligence and data management applications; provides information technology consulting services; provides corporate computer services including network design, hardware and software installation services; provides telecommunication infrastructure development.",Saudi Arabia,1981, Also known as: SBM Last updated on: 15 March 2018 ,Saudi Business Machines Limited ,1000,Private,Information Technology,"Tel: +966 12-610-4000,Fax: +966 12-665-1163,Email: contactus@sbm.com.sa,www.sbm.com.sa,"
6097, Juffali PolyOne Master Batches Co. Ltd. Building Madinah Street 4th Floor Jeddah Second Industrial City 5728 Saudi Arabia Jeddah 21432 ,Production of master batches and special additives.,Saudi Arabia,2013, Also known as: J/Poly Last updated on: 10 July 2019 ,Juffali PolyOne Master Batches Co. Ltd. ,63,Foreign,Industrial Manufacturing,"Tel: +966 12-510-7180,Tel: +966 12-660-7764,Tel: +966 12-663-3516,Fax: +966 12-660-6508,"
6098, Juffali Building Al Madina Road 4th Floor 5728 Saudi Arabia Jeddah 21432 ,"Manufacture of polystyrene thermal insulation boards, gypsum boards and other insulation products.",Saudi Arabia,1982, Also known as: ACC PS Last updated on: 26 May 2018 ,Arabian Chemical Company Polystyrene Limited ,80,Private,Industrial Manufacturing,"Tel: +966 12-667-4818,Tel: +966 12-667-3455,Fax: +966 12-660-9028,Fax: +966 12-637-3286,Email: info@acc-ps.com,www.acc-ps.com,"
6099, AlTouq Group Building Khurais Street Al Malaz District 27483 Saudi Arabia Riyadh 11417 ,Provides direct investments in various sectors.,Saudi Arabia,1970, Also known as: AlTouq Last updated on: 30 November 2018 ,AlTouq Group ,20,Private,Financial Services,"Tel: +966 11-477-0688,Fax: +966 11-478-1535,Email: admin@altouq.com,www.altouq.com,"
6100, Juffali Industrial Products Company Juffali Industrial Products Company Building Al Madina Road 5938 Saudi Arabia Jeddah 21432 ,Offers truck assembly services.,Saudi Arabia,1974, Also known as: NAI Last updated on: 07 February 2019 ,National Automobile Industry Co. Ltd. ,400,Private,Transport,"Tel: +966 12-682-2000,Fax: +966 12-682-1028,"
6101, Saudi Air Conditioning Manufacturing Company Limited Building Jeddah Industrial City 3 8755 Saudi Arabia Jeddah 21492 ,"Manufacture of heating, ventilation and air conditioning equipment.",Saudi Arabia,1979, Also known as: SAMCO Last updated on: 20 November 2017 ,Saudi Air Conditioning Manufacturing Company Limited ,100,Foreign,Industrial Manufacturing,"Tel: +966 12-637-3202,Fax: +966 12-636-3731,Email: samco@samco.com.sa,"
6102, Saudi Arabia Riyadh,"Operation and harvesting of wheat, barley, peanuts, fruit trees, potatoes, alfalfa, rhodes grass, and olives; provides civil and electromechanical contracting for commercial and residential buildings; distribution of agricultural chemicals including herbicides, incesticides, fungicides, acaricides and molluscides",Saudi Arabia,1982, Also known as: GGI Last updated on: 31 July 2019 ,Golden Grass Incorporated for Agriculture and Contracting ,200,Private,Agriculture,
6103, Al-Sarh Travel & Tourism Company King Abdullah Street 555 Al Rahmaniyah Area 2847 Saudi Arabia Riyadh 12343-8074 ,Provides travel agency services; organizes fairs and exhibitions.,Saudi Arabia,1977," Also known as: ASTT, Al-Sarh Travel Agency & Tourism, Alsarh Last updated on: 31 August 2018 ",Al Sarh Travel and Tourism Limited ,200,Private,Leisure and Tourism,"Tel: +966 11-494-1111,Tel: +966 11-494-1112,Tel: +966 11-494-1113,Fax: +966 11-494-1111,Email: info@alsarh.com.sa,www.alsarh.com.sa,"
6104, Al Dawaa Medical Services Company Building Prince Naif Street Al Khobar Area 4326 Saudi Arabia Al Khobar 31952 ,"Distribution of pharmaceuticals, medical equipment and personal care products; ownership and operation of pharmacies.",Saudi Arabia,1994," Also known as: Al Dawaa, DMSCO Last updated on: 31 October 2018 ",Al Dawaa Medical Services Company ,-,Private,Health Care,"Tel: +966 13-867-7776,Tel: +966 13-858-1771,Fax: +966 13-867-0201,Email: info@al-dawaa.com,www.al-dawaa.com,"
6105, Ministry of Commerce and Industry Building Airport Road 1774 Saudi Arabia Riyadh 11162 ,"Governs industrial and commercial activities, foreign trade, registration of all forms of commercial businesses, agencies and industrial areas in Saudi Arabia.",Saudi Arabia,1954," Also known as: MOCI, Ministry of Commerce Last updated on: 28 March 2019 ",Ministry of Commerce and Investment ,,Government,Governmental Institutions,"Tel: +966 11-401-2222,Tel: + 9200-00667,Fax: +966 11-403-8421,Email: cs@mci.gov.sa,www.mci.gov.sa,"
6106, Saudi Industrial Property Authority Building Al Takhasussi Street Al Olaya District 84214 Saudi Arabia Riyadh 11671 ,"Supervises, regulates and develops industrial cities and technology zones in Saudi Arabia.",Saudi Arabia,2001," Also known as: MODON, Saudi Industrial Property Authority Last updated on: 28 November 2018 ",Saudi Authority for Industrial Cities and Technology Zones ,,Government,Governmental Institutions,"Tel: +966 9200-00425,Fax: +966 11-874-9019,Email: info@modon.gov.sa,www.modon.gov.sa,"
6107, Agricultural Development Company Limited Building Omar Bin Abdulaziz Street 1st and 2nd Floor Al Rabwa Area 86909 Saudi Arabia Riyadh 11632 ,"Ownership and operation of poultry farms and meat slaughterhouses; distribution of general food products including coffee, frozen bakery, frozen vegetables and dairy products.",Saudi Arabia,1962, Also known as: ADC Last updated on: 18 February 2019 ,Agricultural Development Company Limited ,700,Private,Agriculture,"Tel: +966 11-473-0302,Tel: +966 11-477-5192,Fax: +966 11-476-5865,Email: adc@adc-ksa.com,"
6108, Dar Al Riyadh Consultants Building King Faisal Bin Abdulaziz Street Al Sharqiyah Area 20753 Saudi Arabia Al Khobar 31952 ,Provides engineering consultancy and architectural services.,Saudi Arabia,1975, Last updated on: 30 November 2018 ,Dar Al Riyadh Consultants ,200,Private,Construction,"Tel: +966 13-849-4111,Tel: +966 13-663-6200,Fax: +966 13-849-3693,Fax: +966 13-849-3888,"
6109, Middle East Technical Solution Establishments Building Al Nahar Street Sulai Area 4323 Saudi Arabia Riyadh 11491 ,Provides civil contracting for heavy projects.,Saudi Arabia,2003, Also known as: METS Last updated on: 31 August 2018 ,Middle East Technical Solutions Establishments ,150,Foreign,Construction,"Tel: +966 11-242-4923,Fax: +966 11-242-4924,Email: mets@mets.com.sa,www.mets.com.sa,"
6110, Al-Rashid Tower Al Maather Street Al Murabba Area 307 Saudi Arabia Riyadh 11411 ,"Provides civil and electromechanical contracting for building, infrastructure and heavy projects; provides engineering consultancy services; real estate property investment and development. Through its main subsidiaries; ownership and operation of shopping malls.",Saudi Arabia,1957, Also known as: RTCC Last updated on: 04 April 2019 ,Al-Rashid Trading & Contracting Company ,,Private,Construction,"Tel: +966 11-416-4111,Tel: +966 11-401-1134,Fax: +966 11-416-4222,Email: info@rtcc.com.sa,www.rtcc.com.sa,"
6111, Ministry of Housing - Saudi Arabia Building 68222 Saudi Arabia Riyadh 11527 ,Regulates and offers licensing for residential buildings and landscape plans; manages social housing programs.,Saudi Arabia,2010, Also known as: MOH - Saudi Arabia Last updated on: 07 December 2018 ,Ministry of Housing - Saudi Arabia ,,Government,,"Tel: +966 11-407-0100,Fax: +966 11-407-0030,Email: info@housing.gov.sa,www.housing.gov.sa,"
6112, Ministry of Housing - Saudi Arabia Building 68222 Saudi Arabia Riyadh 11527 ,Regulates and offers licensing for residential buildings and landscape plans; manages social housing programs.,Saudi Arabia,2010, Also known as: MOH - Saudi Arabia Last updated on: 07 December 2018 ,Ministry of Housing - Saudi Arabia ,,Government,,"Tel: +966 11-407-0100,Fax: +966 11-407-0030,Email: info@housing.gov.sa,www.housing.gov.sa,"
6113, Dr. Soliman Fakeeh Hospital Building Palestine Street Al Hamra District 2537 Saudi Arabia Jeddah 21461 ,Ownership and operation of a general hospital; provides home health care services.,Saudi Arabia,1978, Also known as: DSFH Last updated on: 31 January 2019 ,Dr. Soliman Fakeeh Hospital ,3200,Private,Health Care,"Tel: +966 12-665-5000,Tel: +966 12-660-3000,Fax: +966 12-660-8013,Email: administrator@drfakeehhospital.com,www.dsfh.med.sa,"
6114, Shairco for Trading Industry & Contracting Building Arafat Street Al Hamra District 9301 Saudi Arabia Jeddah 21413 ,"Manufacture of glass reinforced plastic and fiber reinforced plastic; real estate property investment and development; distribution of passenger cars, heaters, solar lighting, alarm systems and polycarbonate products; provides architectural services; manufacture of aluminum and steel structures and skylights. Through its main subsidiaries; it provides recycling of tyres, plastics, aluminum, metals, electronic and construction wastes; manufacture of lighting walls, compatible toners, thermal bond products and nonwoven fabric; refining and production of gold and silver bars; manufacture of polyethylene pipes, tubes and fittings; provides asset management services including fund management; direct investments in the education sector; distribution of yachts.",Saudi Arabia,1979, Last updated on: 07 December 2018 ,AlShair Group ,300,Private,Industrial Manufacturing,"Tel: +966 12-663-7666,Fax: +966 12-665-9424,Email: info@alshair.com.sa,www.alshair.com.sa,"
6115, Ministry of Interior - Saudi Arabia Building King Fahad Road 1261 Saudi Arabia Riyadh 11431 ,"Provides civil and national administration to maintain the security, safety and stability of the society.",Saudi Arabia,1925, Also known as: MOI Last updated on: 24 January 2019 ,Ministry of Interior - Saudi Arabia ,5000,Government,Governmental Institutions,"Tel: +966 11-401-1944,Tel: +966 11-401-1111,Tel: +966 11-405-8333,Fax: +966 11-403-1125,"
6116, SMO Building 757 N Eldridge Parkway 5th Floor 218748 United States Houston 77079-4425 ,Provides offshore contracting; repair and maintenance services of industrial machinery and equipment; offers engineering consultancy services.,Saudi Arabia,1989, Last updated on: 31 March 2018 ,McDermott Arabia Company Limited ,200,Private,Construction,"Tel: +966 13-887-4901,Tel: +1 281-870-5000,Fax: +966 13-887-4909,www.mcdermott.com,"
6117, SMO Building 757 N Eldridge Parkway 5th Floor 218748 United States Houston 77079-4425 ,Provides offshore contracting; repair and maintenance services of industrial machinery and equipment; offers engineering consultancy services.,Saudi Arabia,1989, Last updated on: 31 March 2018 ,McDermott Arabia Company Limited ,200,Private,Construction,"Tel: +966 13-887-4901,Tel: +1 281-870-5000,Fax: +966 13-887-4909,www.mcdermott.com,"
6118, The HQBP West Tower Corniche Road 15th Floor Al Shatea District 8021 Saudi Arabia Jeddah 21482 ,"Provides Islamic asset management services including fund, wealth and portfolio management.",Saudi Arabia,2006, Also known as: Itqan Last updated on: 26 April 2019 ,Itqan Capital ,40,Foreign,Financial Services,"Tel: +966 12-510-6030,Fax: +966 12-510-6030,Email: info@itqancapital.com,https://www.itqancapital.com,"
6119, Al Rashid Tower Al Maathar Street 10th Floor 66633 Saudi Arabia Riyadh 11586 ,"Provides investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting; asset management services including fund, portfolio and wealth management; brokerage services.",Saudi Arabia,2007, Also known as: MSSA Last updated on: 13 August 2018 ,Morgan Stanley Saudi Arabia ,35,Foreign,Financial Services,"Tel: +966 11-218-7000,Fax: +966 11-218-7003,"
6120," Bin Homran Center Tahlia Street 7th Floor, Office 704 B Al Rawdah Area 17381 Saudi Arabia Jeddah 21484 ","Provides brokerage services; asset management services including fund, portfolio and wealth management; investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting, all according to Islamic principles.",Saudi Arabia,2008," Also known as: Mohammed Bin Hasan Bin Rabih Al-Nefaie & Sons Company Limited, NIG Last updated on: 31 March 2018 ",Al-Nefaie Investment Group ,50,Private,Financial Services,"Tel: +966 12-665-5071,Fax: +966 12-665-5723,Email: info@nefaie.com,www.nefaie.com,"
6121, FALCOM Financial Services Building Olaya Street Olaya Area 884 Saudi Arabia Riyadh 11421 ,"Provides investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting; asset management services including fund, wealth and portfolio management; brokerage services, all according to Islamic principles.",Saudi Arabia,2006," Also known as: FALCOM, FFS Last updated on: 16 May 2018 ",FALCOM Financial Services ,140,Private,Financial Services,"Tel: +966 11-211-4727,Tel: +966 11-211-4728,Fax: +966 11-203-2546,Fax: +966 11-461-5216,Email: info@falcom.com.sa,www.falcom.com.sa,"
6122, Al Anoud Tower King Fahad Road 20th floor 66333 Saudi Arabia Olaya 11576 ,"Provides asset management services including fund, wealth and portfolio management; investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting; brokerage services; private equity investments, all according to Islamic principles.",Saudi Arabia,2009, Also known as: Alinma Investment Last updated on: 17 July 2018 ,Alinma Investment Company ,94,Private,Financial Services,"Tel: +966 11-279-9299,Tel: +966 11-218-5999,Tel: +966 11-218-5900,Fax: +966 11-218-5998,Email: info@alinmainvestment.com,www.alinmainvestment.com,"
6123, Moon Tower King Fahad Road 16th Floor 50051 Saudi Arabia Riyadh 11523 ,"Provides asset management services including wealth, fund and portfolio management; investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting; direct investments in various sectors, all according to Islamic principles.",Saudi Arabia,2008," Also known as: KFH - Saudi, SKFH Last updated on: 06 May 2018 ",Saudi Kuwaiti Finance House S.S.C. ,45,Foreign,Financial Services,"Tel: +966 92-000-9019,Tel: +966 11-201-9935,Tel: +966 11-511-7300,Fax: +966 11-201-9819,Email: info@skfh.com.sa,www.skfh.com.sa,"
6124, Al Rajhi Capital Building King Fahad Road Olaya Area 5561 Saudi Arabia Riyadh 11432 ,"Provides asset management services including fund, portfolio and wealth management; investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting; private equity investments; brokerage services, all according to Islamic principles.",Saudi Arabia,2008, Also known as: Rajhi Capital Last updated on: 06 December 2018 ,Al Rajhi Capital ,240,Private,Financial Services,"Tel: +966 11-460-0423,Tel: +966 11-211-9292,Fax: +966 11-460-0625,Fax: +966 11-211-9299,Email: pr@alrajhi-capital.com,www.alrajhi-capital.com,"
6125, HSBC Saudi Arabia Limited Building Olaya Road Al-Murooj Area 9084 Saudi Arabia Riyadh 7267 ,"Provides conventional and Islamic asset management services including fund, wealth and portfolio management; conventional and Islamic investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting; conventional and Islamic securities brokerage services.",Saudi Arabia,2006, Also known as: HSBC Last updated on: 24 October 2018 ,HSBC Saudi Arabia Limited ,90,Private,Financial Services,"Tel: +966 11-299-2314,Tel: +966 11-299-2313,Fax: +966 11-299-2385,Email: saudiarabia@hsbcsa.com,www.hsbcsaudi.com,"
6126, Sky Towers King Fahad Road 2nd - 4th and 7th Floor Olaya Area 60677 Saudi Arabia Riyadh 11555 ,"Provides investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting; asset management services including fund, portfolio and wealth management; private equity investments; brokerage services, all according to Islamic principles.",Saudi Arabia,2006, Also known as: Jadwa Last updated on: 25 March 2019 ,Jadwa Investment ,109,Private,Financial Services,"Tel: +966 11-279-1111,Fax: +966 11-279-1571,Email: info@jadwa.com,www.jadwa.com,"
6127, Kingdom Tower King Fahad Road 25th Floor Al Olaya District 395737 Saudi Arabia Riyadh 11375 ,"Provides asset management services including fund, wealth and portfolio management; investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting, all according to Islamic principles.",Saudi Arabia,2007," Also known as: KASB, KASB Capital Last updated on: 27 February 2019 ",KASB Capital Group ,,Private,Financial Services,"Tel: +966 11-207-9979,Tel: +966 11-211-0044,Fax: +966 11-207-9963,Fax: +966 11-211-0040,Email: info@kasbcapital.sa,www.kasbcapital.sa,"
6128," Al Mada Building King Fahad Road 1st Floor, Office 1 Olaya District 7758 Saudi Arabia Riyadh 12333 ","Provides asset management services including fund, portfolio and wealth management; investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting; brokerage services. Through its main subsidiary it provide real estate brokerage services; manufacturing of medical equipment including petri dishes, needles,etc",Saudi Arabia,2007," Also known as: MEFIC, MEFIC Capital Last updated on: 30 April 2019 ",Middle East Financial Investment Company ,70,Foreign,Financial Services,"Tel: +966 11-218-6666,Tel: +966 11-218-6777,Fax: +966 11-218-6668,Email: info@mefic.com.sa,www.mefic.com.sa,"
6129, Madarat Towers Kind Abdulaziz Street 7th and 8th Floor Al Wizarat Area 69410 Saudi Arabia Riyadh 11547 ,"Provides asset management services including fund, wealth and portfolio management; provides investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting; brokerage services, all according to Islamic principles.",Saudi Arabia,2009, Also known as: Alkhair Capital Last updated on: 13 July 2018 ,Alkhair Capital Saudi Arabia ,50,Foreign,Financial Services,"Tel: +966 11-215-5656,Tel: +966 11-215-5675,Fax: +966 11-219-1270,Fax: +966 11-219-1180,Email: info@alkhaircapital.com.sa,www.alkhaircapital.com.sa,"
6130, Northern Border University Building Saudi Arabia Arar,Ownership and operation of a university.,Saudi Arabia,N/A, Also known as: NBU Last updated on: 29 August 2018 ,Northern Border University ,-,Private,Education,"Tel: +966 14-661-4160,Fax: +966 14-661-4444,www.nbu.edu.sa,"
6131, Abdullah Fouad Building King Fahad Road Ground Floor 77076 Saudi Arabia Al Khobar 31942 ,"Engineering, procurement and construction for power, water and petrochemical projects.",Saudi Arabia,2003, Last updated on: 31 October 2018 ,Tecnicas Reunidas Gulf Ltd. ,1000,Foreign,Construction,"Tel: +966 13-806-2500,Fax: +966 13-857-5933,Email: trgulf@trsa.es,"
6132, Rabiah Al Nassar Building King Abdullah Abdul Aziz Road 3rd Floor 2257 Saudi Arabia Al Khobar 31952 ,"Provides engineering, procurement and construction for petrochemical, oil and gas plant projects; provides engineering consultancy services.",Saudi Arabia,2008, Also known as: JGC Last updated on: 15 July 2019 ,JGC Gulf International Company Limited ,500,Foreign,Construction,"Tel: +966 13-806-9999,Fax: +966 13-896-5071,Email: jgc.gulf@jgc.com.sa,www.jgc.com.sa,"
6133, Al Turki Building Prince Khaled Street 718 Saudi Arabia Dammam 31421 ,Provides civil contracting for heavy projects and pipeline projects.,Saudi Arabia,2008, Last updated on: 22 February 2019 ,Larsen & Toubro ATCO Saudia LLC ,300,Private,Construction,"Tel: +966 13-833-5461,Tel: +966 13-833-4163,Tel: +966 13-833-4170,Fax: +966 13-833-4175,Fax: +966 13-833-5460,"
6134, Al Turki Building Prince Khaled Street 718 Saudi Arabia Dammam 31421 ,Provides civil contracting for heavy projects and pipeline projects.,Saudi Arabia,2008, Last updated on: 22 February 2019 ,Larsen & Toubro ATCO Saudia LLC ,300,Private,Construction,"Tel: +966 13-833-5461,Tel: +966 13-833-4163,Tel: +966 13-833-4170,Fax: +966 13-833-4175,Fax: +966 13-833-5460,"
6135, Internet Services Unit Building King Abdul-Aziz City for Science and Technology (KACST) Area 6086 Saudi Arabia Riyadh 11442 ,Provides Internet services.,Saudi Arabia,1998, Also known as: ISU Last updated on: 20 August 2018 ,Internet Services Unit ,-,Government,Telecommunications,"Tel: +966 11-488-3555,Tel: +966 11-488-3444,Fax: +966 11-488-3555,Email: info@isu.net.sa,https://www.kacst.edu.sa,"
6136, Saudi Arabia Riyadh,"Distribution of general food products including dairy, diet food products, edible oils, fish and seafood products, fruits and vegetables, grain products and meat products.",Saudi Arabia,2011, Also known as: TB Last updated on: 01 November 2018 ,Tharawat Commercial Business Company (dissolved),-,Private,Food and Beverages,
6137," Specialized Medical Center Building, Tower 2 King Fahad Road 659 8th - 12th Floor Al Olaya District 9102 Saudi Arabia Riyadh 11413 ",Provides real estate property investment and development. Through its main subsidiaries; electromechanical contracting; ownership and operation of shopping malls.,Saudi Arabia,2001, Also known as: ARTAR Last updated on: 30 April 2018 ,Abdulrahman Saad Al Rashid & Sons Co. Closed Joint Stock ,300,Private,Real Estate,"Tel: +966 11-464-6111,Fax: +966 11-416-6668,Email: artar@artar.com.sa,www.artar.com.sa,"
6138," The Business Gate, Building 11 Al Marhumah Area 2384 Saudi Arabia Riyadh 13244 ","Provides investment services in different sectors, including energy, healthcare and information technology.",Saudi Arabia,2011," Also known as: STDIC, TAQNIA Last updated on: 01 April 2019 ",Saudi Technology Development and Investment Company ,-,Government,Financial Services,"Tel: +966 11-221-1111,Fax: +966 11-268-1111,Email: info@taqnia.com,www.taqnia.com,"
6139," The Business Gate, Building 11 Al Marhumah Area 2384 Saudi Arabia Riyadh 13244 ","Provides investment services in different sectors, including energy, healthcare and information technology.",Saudi Arabia,2011," Also known as: STDIC, TAQNIA Last updated on: 01 April 2019 ",Saudi Technology Development and Investment Company ,-,Government,Financial Services,"Tel: +966 11-221-1111,Fax: +966 11-268-1111,Email: info@taqnia.com,www.taqnia.com,"
6140," Building 12 Al Nahda Road 1st Floor, Office 6 Radwa Area 22560 Saudi Arabia Riyadh 11416 ",Provides research and statistical studies services; provides business consulting services.,Saudi Arabia,1981, Also known as: SAGECO Last updated on: 08 October 2018 ,Saudi German Development and Investment Company Limited ,25,Private,Governmental Institutions,"Tel: +966 11-476-2511,Fax: +966 11-476-2609,Email: sageco@sageco.com.sa,www.sageco.com.sa,"
6141, Internet Services Unit Building King Abdul-Aziz City for Science and Technology (KACST) Area 6086 Saudi Arabia Riyadh 11442 ,Provides Internet services.,Saudi Arabia,1998, Also known as: ISU Last updated on: 20 August 2018 ,Internet Services Unit ,-,Government,Telecommunications,"Tel: +966 11-488-3555,Tel: +966 11-488-3444,Fax: +966 11-488-3555,Email: info@isu.net.sa,https://www.kacst.edu.sa,"
6142," Specialized Medical Center Building, Tower 2 King Fahad Road 659 8th - 12th Floor Al Olaya District 9102 Saudi Arabia Riyadh 11413 ",Provides real estate property investment and development. Through its main subsidiaries; electromechanical contracting; ownership and operation of shopping malls.,Saudi Arabia,2001, Also known as: ARTAR Last updated on: 30 April 2018 ,Abdulrahman Saad Al Rashid & Sons Co. Closed Joint Stock ,300,Private,Real Estate,"Tel: +966 11-464-6111,Fax: +966 11-416-6668,Email: artar@artar.com.sa,www.artar.com.sa,"
6143," The Business Gate, Building 11 Al Marhumah Area 2384 Saudi Arabia Riyadh 13244 ","Provides investment services in different sectors, including energy, healthcare and information technology.",Saudi Arabia,2011," Also known as: STDIC, TAQNIA Last updated on: 01 April 2019 ",Saudi Technology Development and Investment Company ,-,Government,Financial Services,"Tel: +966 11-221-1111,Fax: +966 11-268-1111,Email: info@taqnia.com,www.taqnia.com,"
6144, Saudi Arabia Riyadh,"Distribution of general food products including dairy, diet food products, edible oils, fish and seafood products, fruits and vegetables, grain products and meat products.",Saudi Arabia,2011, Also known as: TB Last updated on: 01 November 2018 ,Tharawat Commercial Business Company (dissolved),-,Private,Food and Beverages,
6145," Al Jazirah Vehicles Agencies Co. Ltd. Building 3633, Exit 8 Dammam Road 1st Floor Gharnatah Area 8502 Saudi Arabia Riyadh 13241 ","Distribution of passenger cars, commercial vehicles, trucks and spare parts; repair and maintenance services.",Saudi Arabia,1987," Also known as: Al Jazirah Vehicles, Ford Al Jazirah Last updated on: 31 July 2018 ",Al Jazirah Vehicles Agencies Co. Ltd. ,4600,Private,Transport,"Tel: +966 11-231-9944,Tel: +966 11-240-9944,Fax: +966 11-231-1811,Fax: +966 11-278-9176,Email: info@aljazirahford.com,"
6146, Dar Al Riyadh Consultants Building King Faisal Bin Abdulaziz Street Al Sharqiyah Area 20753 Saudi Arabia Al Khobar 31952 ,Provides engineering consultancy and architectural services.,Saudi Arabia,1975, Last updated on: 30 November 2018 ,Dar Al Riyadh Consultants ,200,Private,Construction,"Tel: +966 13-849-4111,Tel: +966 13-663-6200,Fax: +966 13-849-3693,Fax: +966 13-849-3888,"
6147, Dar Al Riyadh Consultants Building King Faisal Bin Abdulaziz Street Al Sharqiyah Area 20753 Saudi Arabia Al Khobar 31952 ,Provides engineering consultancy and architectural services.,Saudi Arabia,1975, Last updated on: 30 November 2018 ,Dar Al Riyadh Consultants ,200,Private,Construction,"Tel: +966 13-849-4111,Tel: +966 13-663-6200,Fax: +966 13-849-3693,Fax: +966 13-849-3888,"
6148, Riyadh Bank Building Choubra Street 2nd Floor 3610 Saudi Arabia Taif 21944 ,"Provides real estate property investment, development and management. Through its main subsidiaries; it provides civil contracting for buildings and infrastructure projects.",Saudi Arabia,1999," Also known as: TAIFSAMA, TITC, Taif Company Last updated on: 31 October 2018 ",Taif Investments and Tourism Company ,325,Private,Real Estate,"Tel: +966 12-738-4074,Tel: +966 12-734-7766,Tel: +966 12-734-7755,Fax: +966 12-738-2015,Fax: +966 12-734-7755,Email: info@taifco.com.sa,www.taifsama.com.sa,"
